slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
chainstack-mainnet-business-recent-state,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/solana-getting-started)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-developer-recent-state,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/solana-getting-started)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-full-archive,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/solana-getting-started)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-recent-state,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/solana-getting-started)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-full-archive,,!offer:chainstack-pro-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/solana-getting-started)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-recent-state,,!offer:chainstack-pro-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/solana-getting-started)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-devnet-dedicated-full-archive,,!offer:crypto-apis-dedicated-full-archive,,,,,,,devnet,$2504,,,,,,,,,,,,,,,,,,
crypto-apis-devnet-dedicated-recent-state,,!offer:crypto-apis-dedicated-recent-state,,,,,,,devnet,$2504,,,,,,,,,,,,,,,,,,
crypto-apis-devnet-free-full-archive,,!offer:crypto-apis-free-full-archive,,,,,,,devnet,,,,,,,,,,,,,,,,,,,
crypto-apis-devnet-free-recent-state,,!offer:crypto-apis-free-recent-state,,,,,,,devnet,,,,,,,,,,,,,,,,,,,
crypto-apis-devnet-pro-full-archive,,!offer:crypto-apis-pro-full-archive,,,,,,,devnet,,,,,,,,,,,,,,,,,,,
crypto-apis-devnet-pro-recent-state,,!offer:crypto-apis-pro-recent-state,,,,,,,devnet,,,,,,,,,,,,,,,,,,,
crypto-apis-devnet-scale-full-archive,,!offer:crypto-apis-scale-full-archive,,,,,,,devnet,,,,,,,,,,,,,,,,,,,
crypto-apis-devnet-scale-recent-state,,!offer:crypto-apis-scale-recent-state,,,,,,,devnet,,,,,,,,,,,,,,,,,,,
crypto-apis-devnet-starter-full-archive,,!offer:crypto-apis-starter-full-archive,,,,,,,devnet,,,,,,,,,,,,,,,,,,,
crypto-apis-devnet-starter-recent-state,,!offer:crypto-apis-starter-recent-state,,,,,,,devnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-dedicated-full-archive,,!offer:crypto-apis-dedicated-full-archive,,,,,,,mainnet,$2504,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-dedicated-recent-state,,!offer:crypto-apis-dedicated-recent-state,,,,,,,mainnet,$2504,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-full-archive,,!offer:crypto-apis-free-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-recent-state,,!offer:crypto-apis-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-full-archive,,!offer:crypto-apis-pro-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-recent-state,,!offer:crypto-apis-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-full-archive,,!offer:crypto-apis-scale-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-recent-state,,!offer:crypto-apis-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-full-archive,,!offer:crypto-apis-starter-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-recent-state,,!offer:crypto-apis-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-devnet-advanced-recent-state,,!offer:getblock-advanced-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/api-reference/solana-sol)""]",,,,,Solana JSON-RPC,devnet,,,,,,,,,,,,,,,,,,,
getblock-devnet-dedicated-recent-state,,!offer:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/api-reference/solana-sol)""]",,,,,Solana JSON-RPC,devnet,,,,,,,,,,,,,,,,,,,
getblock-devnet-free-recent-state,,!offer:getblock-free-recent-state,"[""[Website](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/api-reference/solana-sol)""]",,,,,Solana JSON-RPC,devnet,,,,,,,,,,,,,,,,,,,
getblock-devnet-pro-recent-state,,!offer:getblock-pro-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/api-reference/solana-sol)""]",,,,,Solana JSON-RPC,devnet,,,,,,,,,,,,,,,,,,,
getblock-devnet-starter-recent-state,,!offer:getblock-starter-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/api-reference/solana-sol)""]",,,,,Solana JSON-RPC,devnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-advanced-recent-state,,!offer:getblock-advanced-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/api-reference/solana-sol)""]",,,,,Solana JSON-RPC,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,,!offer:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/api-reference/solana-sol)""]",,,,,Solana JSON-RPC,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,,!offer:getblock-free-recent-state,"[""[Website](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/api-reference/solana-sol)""]",,,,,Solana JSON-RPC,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-pro-recent-state,,!offer:getblock-pro-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/api-reference/solana-sol)""]",,,,,Solana JSON-RPC,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-starter-recent-state,,!offer:getblock-starter-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/api-reference/solana-sol)""]",,,,,Solana JSON-RPC,mainnet,,,,,,,,,,,,,,,,,,,
helius-devnet-business-full-archive,Helius,,"[""[Buy](https://www.helius.dev/pricing)"",""[Docs](https://www.helius.dev/docs)""]",Business,Tiered,Archive,RPC,EVM JSON-RPC,devnet,$499,,FALSE,FALSE,"[""RPC Node"",""DAS API (Digital Asset Standard)"",""NFT API"",""Webhooks""]","[""100M credits"",""200 reqs/sec"",""50 sendTransaction/sec""]","[""SOC 2 Type II Certified Data Centers"",""Hardware security modules (HSMs)""]","[""Enhanced WebSockets"",""Standard WebSockets"",""Solana Dashboards""]","[""North America"",""Europe"",""Asia""]","[""LaserStream gRPC"",""ShredStream"",""Shred Delivery via UDP"",""Extreme Redundancy with Clustered Nodes""]",,,99.99%,,,,,,
helius-devnet-developer-full-archive,Helius,,"[""[Buy](https://www.helius.dev/pricing)"",""[Docs](https://www.helius.dev/docs)""]",Developer,Tiered,Archive,RPC,EVM JSON-RPC,devnet,$49,,FALSE,FALSE,"[""RPC Node"",""DAS API (Digital Asset Standard)"",""NFT API"",""Webhooks""]","[""10M credits"",""50 reqs/sec"",""5 sendTransaction/sec""]","[""SOC 2 Type II Certified Data Centers"",""Hardware security modules (HSMs)""]","[""Enhanced WebSockets"",""Standard WebSockets"",""Solana Dashboards""]","[""North America"",""Europe"",""Asia""]","[""LaserStream gRPC"",""ShredStream"",""Shred Delivery via UDP"",""Extreme Redundancy with Clustered Nodes""]",,,99.99%,,,,,,
helius-devnet-enterprise-full-archive,Helius,,"[""[Contact](https://www.helius.dev/contact)"",""[Docs](https://www.helius.dev/docs)""]",,Enterprise,Archive,RPC,EVM JSON-RPC,devnet,Custom,Custom,FALSE,FALSE,"[""RPC Node"",""DAS API (Digital Asset Standard)"",""NFT API"",""Webhooks""]","[""Custom limits""]","[""SOC 2 Type II Certified Data Centers"",""Hardware security modules (HSMs)""]","[""Enhanced WebSockets"",""Standard WebSockets"",""Solana Dashboards""]","[""North America"",""Europe"",""Asia""]","[""LaserStream gRPC"",""ShredStream"",""Shred Delivery via UDP"",""Extreme Redundancy with Clustered Nodes""]",,,99.99%,,,,,,
helius-devnet-free-full-archive,Helius,,"[""[Website](https://www.helius.dev/)"",""[Docs](https://www.helius.dev/docs)""]",,Free,Archive,RPC,EVM JSON-RPC,devnet,$0,$0,FALSE,FALSE,"[""RPC Node"",""DAS API (Digital Asset Standard)"",""NFT API"",""Webhooks""]","[""1M credits"",""10 reqs/sec"",""1 sendTransaction/sec""]","[""SOC 2 Type II Certified Data Centers"",""Hardware security modules (HSMs)""]","[""Enhanced WebSockets"",""Standard WebSockets"",""Solana Dashboards""]","[""North America"",""Europe"",""Asia""]","[""LaserStream gRPC"",""ShredStream"",""Shred Delivery via UDP"",""Extreme Redundancy with Clustered Nodes""]",,,99.99%,,,,,,
helius-devnet-professional-full-archive,Helius,,"[""[Buy](https://www.helius.dev/pricing)"",""[Docs](https://www.helius.dev/docs)""]",Professional,Tiered,Archive,RPC,EVM JSON-RPC,devnet,$999,,FALSE,FALSE,"[""RPC Node"",""DAS API (Digital Asset Standard)"",""NFT API"",""Webhooks""]","[""200M credits"",""500 reqs/sec"",""100 sendTransaction/sec""]","[""SOC 2 Type II Certified Data Centers"",""Hardware security modules (HSMs)""]","[""Enhanced WebSockets"",""Standard WebSockets"",""Solana Dashboards""]","[""North America"",""Europe"",""Asia""]","[""LaserStream gRPC"",""ShredStream"",""Shred Delivery via UDP"",""Extreme Redundancy with Clustered Nodes""]",,,99.99%,,,,,,
helius-mainnet-business-full-archive,Helius,,"[""[Buy](https://www.helius.dev/pricing)"",""[Docs](https://www.helius.dev/docs)""]",Business,Tiered,Archive,RPC,EVM JSON-RPC,mainnet,$499,,FALSE,FALSE,"[""RPC Node"",""DAS API (Digital Asset Standard)"",""NFT API"",""Webhooks""]","[""100M credits"",""200 reqs/sec"",""50 sendTransaction/sec""]","[""SOC 2 Type II Certified Data Centers"",""Hardware security modules (HSMs)""]","[""Enhanced WebSockets"",""Standard WebSockets"",""Solana Dashboards""]","[""North America"",""Europe"",""Asia""]","[""LaserStream gRPC"",""ShredStream"",""Shred Delivery via UDP"",""Extreme Redundancy with Clustered Nodes""]",,,99.99%,,,,,,
helius-mainnet-developer-full-archive,Helius,,"[""[Buy](https://www.helius.dev/pricing)"",""[Docs](https://www.helius.dev/docs)""]",Developer,Tiered,Archive,RPC,EVM JSON-RPC,mainnet,$49,,FALSE,FALSE,"[""RPC Node"",""DAS API (Digital Asset Standard)"",""NFT API"",""Webhooks""]","[""10M credits"",""50 reqs/sec"",""5 sendTransaction/sec""]","[""SOC 2 Type II Certified Data Centers"",""Hardware security modules (HSMs)""]","[""Enhanced WebSockets"",""Standard WebSockets"",""Solana Dashboards""]","[""North America"",""Europe"",""Asia""]","[""LaserStream gRPC"",""ShredStream"",""Shred Delivery via UDP"",""Extreme Redundancy with Clustered Nodes""]",,,99.99%,,,,,,
helius-mainnet-enterprise-full-archive,Helius,,"[""[Contact](https://www.helius.dev/contact)"",""[Docs](https://www.helius.dev/docs)""]",,Enterprise,Archive,RPC,EVM JSON-RPC,mainnet,Custom,Custom,FALSE,FALSE,"[""RPC Node"",""DAS API (Digital Asset Standard)"",""NFT API"",""Webhooks""]","[""Custom limits""]","[""SOC 2 Type II Certified Data Centers"",""Hardware security modules (HSMs)""]","[""Enhanced WebSockets"",""Standard WebSockets"",""Solana Dashboards""]","[""North America"",""Europe"",""Asia""]","[""LaserStream gRPC"",""ShredStream"",""Shred Delivery via UDP"",""Extreme Redundancy with Clustered Nodes""]",,,99.99%,,,,,,
helius-mainnet-free-full-archive,Helius,,"[""[Website](https://www.helius.dev/)"",""[Docs](https://www.helius.dev/docs)""]",,Free,Archive,RPC,EVM JSON-RPC,mainnet,$0,$0,FALSE,FALSE,"[""RPC Node"",""DAS API (Digital Asset Standard)"",""NFT API"",""Webhooks""]","[""1M credits"",""10 reqs/sec"",""1 sendTransaction/sec""]","[""SOC 2 Type II Certified Data Centers"",""Hardware security modules (HSMs)""]","[""Enhanced WebSockets"",""Standard WebSockets"",""Solana Dashboards""]","[""North America"",""Europe"",""Asia""]","[""LaserStream gRPC"",""ShredStream"",""Shred Delivery via UDP"",""Extreme Redundancy with Clustered Nodes""]",,,99.99%,,,,,,
helius-mainnet-professional-full-archive,Helius,,"[""[Buy](https://www.helius.dev/pricing)"",""[Docs](https://www.helius.dev/docs)""]",Professional,Tiered,Archive,RPC,EVM JSON-RPC,mainnet,$999,,FALSE,FALSE,"[""RPC Node"",""DAS API (Digital Asset Standard)"",""NFT API"",""Webhooks""]","[""200M credits"",""500 reqs/sec"",""100 sendTransaction/sec""]","[""SOC 2 Type II Certified Data Centers"",""Hardware security modules (HSMs)""]","[""Enhanced WebSockets"",""Standard WebSockets"",""Solana Dashboards""]","[""North America"",""Europe"",""Asia""]","[""LaserStream gRPC"",""ShredStream"",""Shred Delivery via UDP"",""Extreme Redundancy with Clustered Nodes""]",,,99.99%,,,,,,
indexing-co-devnet-free-indexer,,!offer:indexing-co-free-indexer,"[""[Docs](https://docs.indexing.co/networks/solana_devnet)""]",,,,,Solana JSON-RPC,devnet,,,,,,,,,,,,,,,,,,,
indexing-co-devnet-pay-as-you-go-indexer,,!offer:indexing-co-pay-as-you-go-indexer,"[""[Docs](https://docs.indexing.co/networks/solana_devnet)""]",,,,,Solana JSON-RPC,devnet,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-free-indexer,,!offer:indexing-co-free-indexer,"[""[Docs](https://docs.indexing.co/networks/solana)""]",,,,,Solana JSON-RPC,mainnet,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-pay-as-you-go-indexer,,!offer:indexing-co-pay-as-you-go-indexer,"[""[Docs](https://docs.indexing.co/networks/solana)""]",,,,,Solana JSON-RPC,mainnet,,,,,,,,,,,,,,,,,,,
nodit-devnet-business-full-archive,,!offer:nodit-business-full-archive,"[""[Docs](https://developer.nodit.io/en/api/solana/node-api/getaccountinfo/)""]",,,,,,devnet,,,,,,,,,,,,,,,,,,,
nodit-devnet-business-recent-state,,!offer:nodit-business-recent-state,"[""[Docs](https://developer.nodit.io/en/api/solana/node-api/getaccountinfo/)""]",,,,,,devnet,,,,,,,,,,,,,,,,,,,
nodit-devnet-dedicated-full-archive,,!offer:nodit-dedicated-full-archive,"[""[Docs](https://developer.nodit.io/en/api/solana/node-api/getaccountinfo/)""]",,,,,,devnet,,,,,,,,,,,,,,,,,,,
nodit-devnet-dedicated-recent-state,,!offer:nodit-dedicated-recent-state,"[""[Docs](https://developer.nodit.io/en/api/solana/node-api/getaccountinfo/)""]",,,,,,devnet,,,,,,,,,,,,,,,,,,,
nodit-devnet-developer-full-archive,,!offer:nodit-developer-full-archive,"[""[Docs](https://developer.nodit.io/en/api/solana/node-api/getaccountinfo/)""]",,,,,,devnet,,,,,,,,,,,,,,,,,,,
nodit-devnet-developer-recent-state,,!offer:nodit-developer-recent-state,"[""[Docs](https://developer.nodit.io/en/api/solana/node-api/getaccountinfo/)""]",,,,,,devnet,,,,,,,,,,,,,,,,,,,
nodit-devnet-starter-full-archive,,!offer:nodit-starter-full-archive,"[""[Docs](https://developer.nodit.io/en/api/solana/node-api/getaccountinfo/)""]",,,,,,devnet,,,,,,,,,,,,,,,,,,,
nodit-devnet-starter-plus-full-archive,,!offer:nodit-starter-plus-full-archive,"[""[Docs](https://developer.nodit.io/en/api/solana/node-api/getaccountinfo/)""]",,,,,,devnet,,,,,,,,,,,,,,,,,,,
nodit-devnet-starter-plus-recent-state,,!offer:nodit-starter-plus-recent-state,"[""[Docs](https://developer.nodit.io/en/api/solana/node-api/getaccountinfo/)""]",,,,,,devnet,,,,,,,,,,,,,,,,,,,
nodit-devnet-starter-recent-state,,!offer:nodit-starter-recent-state,"[""[Docs](https://developer.nodit.io/en/api/solana/node-api/getaccountinfo/)""]",,,,,,devnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-business-recent-state,,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/solana)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-dedicated-recent-state,,!offer:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/nodes/solana)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise-recent-state,,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/solana)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
